type,ref,date,title,subject,MNIS_id,gender,constituency
Presentation bills,Bill 147 2019-21,2020-06-24,Police Stop and Search (Repeal) Bill 2019-21,Police; Stop and search,188,M,Kingston and Surbiton
Ten minute rule bills,Bill 144 2019-21,2020-06-23,Desecration of War Memorials Bill 2019-21,Damage; Vandalism; War memorials,4814,M,Stoke-on-Trent North
Presentation bills,Bill 143 2019-21,2020-06-22,European Union (Withdrawal Agreement) (Extension) Bill 2019-21,Brexit; UK relations with EU,4656,F,Oxford West and Abingdon
Ten minute rule bills,Bill 140 2019-21,2020-06-17,Sexual Offences (Sports Coaches) Bill 2019-21,Children; Young people; Sexual offences; Sports,3950,F,Chatham and Aylesford
Ten minute rule bills,Bill 139 2019-21,2020-06-16,Automatic Electoral Registration Bill 2019-21,Disclosure of information; Electoral register; Public bodies,4391,F,Bradford South
Presentation bills,Bill 137 2019-21,2020-06-15,Internet Access (Children Eligible for Free School Meals) Bill 2019-21,Access; Disadvantaged; Eligibility; Internet; Pupils,193,F,Mitcham and Morden
Ten minute rule bills,Bill 135 2019-21,2020-06-11,Local Electricity Bill 2019-21,Energy supply; Electricity; Renewable energy,4069,M,Waveney
Presentation bills,Bill 134 2019-21,2020-06-10,Employment (Reasonable Adjustments for Carers) Bill 2019-21,Conditions of employment; Carers; Compassionate leave,188,M,Kingston and Surbiton
Presentation bills,Bill 132 2019-21,2020-06-09,Employment (Dismissal and Re-employment) Bill 2019-21,Conditions of employment; Employment; Dismissal,4420,M,Paisley and Renfrewshire North
Ten minute rule bills,Bill 133 2019-21,2020-06-09,Pedicabs (London) Bill 2019-21,Greater London; Regulation; Pedicabs,4741,F,Cities of London and Westminster
Presentation bills,Bill 131 2019-21,2020-06-03,"Abortion (Cleft Lip, Cleft Palate and Clubfoot) Bill 2019-21",Abortion; Club foot; Cleft palate,3958,F,Congleton
Presentation bills,Bill 130 2019-21,2020-05-20,European Union Withdrawal (Implementation Period) Bill 2019-21,Trade agreements; Brexit,188,M,Kingston and Surbiton
Ten minute rule bills,Bill 126 2019-21,2020-04-22,Public Advocate (No. 2) Bill 2019-21,Advocacy; Disasters; Families,483,F,Garston and Halewood
Ten minute rule bills,Bill 124 2019-21,2020-03-24,Wellbeing of Future Generations (No. 2) Bill 2019-21,Health; Public sector; Sustainable development,3930,F,"Brighton, Pavilion"
Ten minute rule bills,Bill 119 2019-21,2020-03-18,Children (Access to Treatment) Bill 2019-21,Children; Medical treatments,4610,M,"Enfield, Southgate"
