type,ref,date,title,subject,MNIS_id,gender,constituency
Ten minute rule bills,Bill 254 2019-21,2021-02-03,Air Quality Bill 2019-21,Air pollution; Pollution control,1500,F,Chipping Barnet
Presentation bills,Bill 253 2019-21,2021-02-03,Gaming Hardware (Automated Purchase and Resale) Bill 2019-21,ICT; Electronic commerce; Video games; Automation,4402,M,Dunfermline and West Fife
Ten minute rule bills,Bill 251 2019-21,2021-02-02,Local Welfare Assistance Provision (Review) Bill 2019-21,Cost effectiveness; Local government; Standards; Welfare assistance schemes,3926,M,Blackpool North and Cleveleys
Presentation bills,Bill 250 2019-21,2021-02-02,Driving Tests (Repayment of Test Fees) Bill 2019-21,Fees and charges; Driving tests; Repayments,4413,F,East Renfrewshire
Ten minute rule bills,Bill 247 2019-21,2021-01-27,Ministerial Interests (Emergency Powers) Bill 2019-21,Contracts for services; Conflict of interests; Ministers; Ministerial statements,4482,M,Midlothian
Ten minute rule bills,Bill 245 2019-21,2021-01-26,Football (Regulation) Bill 2019-21,NA,4018,F,Maidstone and The Weald
Ten minute rule bills,Bill 241 2019-21,2021-01-20,Internet Access Bill 2019-21,Access; Children; Disadvantaged; Internet; Universal service obligation; Mobile broadband,4621,M,Bristol North West
Ten minute rule bills,Bill 240 2019-21,2021-01-19,Freedom of Speech (Universities) Bill 2019-21,Freedom of expression; Universities,373,M,Haltemprice and Howden
Ten minute rule bills,Bill 238 2019-21,2021-01-13,Covid-19 Financial Assistance (Gaps in Support) Bill 2019-21,Government assistance; Self-employed; Coronavirus,NA,NA,NA
Ten minute rule bills,Bill 237 2019-21,2021-01-12,Abolition of Business Rates Bill 2019-21,Non-domestic rates; VAT,4474,M,Thirsk and Malton
Ten minute rule bills,Bill 235 2019-21,2020-12-16,Arms (Exports and Remote Warfare) Bill 2019-21,Arms trade; Exports; Parliamentary scrutiny; Unmanned air vehicles,4738,M,Stirling
Ten minute rule bills,Bill 233 2019-21,2020-12-15,Virginity Testing (Prohibition) Bill 2019-21,Females; Medical examinations; Sex,4813,M,North West Durham
Ten minute rule bills,Bill 228 2019-21,2020-12-09,Sexual Exploitation Bill 2019-21,Human trafficking; Prostitution,1533,F,Kingston upon Hull North
Ten minute rule bills,Bill 226 2019-21,2020-12-08,BBC (Transparency) Bill 2019-21,Disclosure of information; BBC; Billing; Expenditure; Pay,4086,M,Vale of Glamorgan
Ballot bills,Bill 223 2019-21,2020-12-02,Prisons (Substance Testing) Bill 2019-21. As amended in Committee.,NA,NA,NA,NA
Ten minute rule bills,Bill 222 2019-21,2020-12-02,Automated External Defibrillators (Public Access) Bill 2019-21,First aid; Defibrillators,4131,M,Strangford
Ten minute rule bills,Bill 221 2019-21,2020-12-01,Apologies Bill 2019-21,Compensation; Liability; Negligence; Dispute resolution,1606,M,Henley
Ten minute rule bills,Bill 219 2019-21,2020-11-25,Driving Offences (Amendment) Bill 2019-21,Dangerous driving; Road traffic offences; Private property,4501,M,Merthyr Tydfil and Rhymney
Ten minute rule bills,Bill 217 2019-21,2020-11-24,National Health Service Reserve Staff Bill 2019-21,NHS; Staff; Voluntary work,4484,M,Havant
Ten minute rule bills,Bill 214 2019-21,2020-11-18,Supported Accommodation Bill 2019-21,Supported housing,298,M,"Birmingham, Selly Oak"
Ten minute rule bills,Bill 213 2019-21,2020-11-17,Doctors and Nurses (Developing Countries) Bill 2019-21,Developing countries; Doctors; Nurses; Migrant workers; Training,1211,M,Sutton Coldfield
Ballot bills,Bill 211 2019-21,2020-11-11,Forensic Science Regulator Bill 2019-21. As amended in Public Bill Committee.,NA,4621,M,Bristol North West
Ten minute rule bills,Bill 212 2019-21,2020-11-11,Supported Housing (Regulation) Bill 2019-21,Children in care; Local government; Standards; Supported housing,1491,F,Bristol East
Ten minute rule bills,Bill 209 2019-21,2020-11-10,Jet Skis (Licensing) Bill 2019-21,Licensing; Safety; Jet skis,1397,M,Arfon
Presentation bills,Bill 207 2019-21,2020-11-05,Plastic Pollution Bill 2019-21,Pollution control; Plastics; Waste disposal,1442,M,Orkney and Shetland
