MNIS_id,url,debates
4793,https://hansard.parliament.uk/search/MemberContributions?memberId=4793&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,114
103,https://hansard.parliament.uk/search/MemberContributions?memberId=103&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,12
4060,https://hansard.parliament.uk/search/MemberContributions?memberId=4060&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,10
394,https://hansard.parliament.uk/search/MemberContributions?memberId=394&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,72
4818,https://hansard.parliament.uk/search/MemberContributions?memberId=4818&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,62
4421,https://hansard.parliament.uk/search/MemberContributions?memberId=4421&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,18
4390,https://hansard.parliament.uk/search/MemberContributions?memberId=4390&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,87
4005,https://hansard.parliament.uk/search/MemberContributions?memberId=4005&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,171
4357,https://hansard.parliament.uk/search/MemberContributions?memberId=4357&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,17
4864,https://hansard.parliament.uk/search/MemberContributions?memberId=4864&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,43
4058,https://hansard.parliament.uk/search/MemberContributions?memberId=4058&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,76
104,https://hansard.parliament.uk/search/MemberContributions?memberId=104&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,35
1581,https://hansard.parliament.uk/search/MemberContributions?memberId=1581&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,84
4748,https://hansard.parliament.uk/search/MemberContributions?memberId=4748&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,41
117,https://hansard.parliament.uk/search/MemberContributions?memberId=117&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,52
4601,https://hansard.parliament.uk/search/MemberContributions?memberId=4601&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,93
4663,https://hansard.parliament.uk/search/MemberContributions?memberId=4663&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,55
4110,https://hansard.parliament.uk/search/MemberContributions?memberId=4110&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,55
230,https://hansard.parliament.uk/search/MemberContributions?memberId=230&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,42
435,https://hansard.parliament.uk/search/MemberContributions?memberId=435&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
4373,https://hansard.parliament.uk/search/MemberContributions?memberId=4373&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,NA
4475,https://hansard.parliament.uk/search/MemberContributions?memberId=4475&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,37
1400,https://hansard.parliament.uk/search/MemberContributions?memberId=1400&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,120
4643,https://hansard.parliament.uk/search/MemberContributions?memberId=4643&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,83
4133,https://hansard.parliament.uk/search/MemberContributions?memberId=4133&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,28
4067,https://hansard.parliament.uk/search/MemberContributions?memberId=4067&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,119
4792,https://hansard.parliament.uk/search/MemberContributions?memberId=4792&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,58
4838,https://hansard.parliament.uk/search/MemberContributions?memberId=4838&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,89
4417,https://hansard.parliament.uk/search/MemberContributions?memberId=4417&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,86
1530,https://hansard.parliament.uk/search/MemberContributions?memberId=1530&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,23
4470,https://hansard.parliament.uk/search/MemberContributions?memberId=4470&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,141
1583,https://hansard.parliament.uk/search/MemberContributions?memberId=1583&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,45
523,https://hansard.parliament.uk/search/MemberContributions?memberId=523&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,7
4801,https://hansard.parliament.uk/search/MemberContributions?memberId=4801&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,65
3958,https://hansard.parliament.uk/search/MemberContributions?memberId=3958&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,69
1446,https://hansard.parliament.uk/search/MemberContributions?memberId=1446&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,190
4821,https://hansard.parliament.uk/search/MemberContributions?memberId=4821&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,151
199,https://hansard.parliament.uk/search/MemberContributions?memberId=199&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,49
4106,https://hansard.parliament.uk/search/MemberContributions?memberId=4106&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
4613,https://hansard.parliament.uk/search/MemberContributions?memberId=4613&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,NA
4493,https://hansard.parliament.uk/search/MemberContributions?memberId=4493&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
3922,https://hansard.parliament.uk/search/MemberContributions?memberId=3922&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,14
1489,https://hansard.parliament.uk/search/MemberContributions?memberId=1489&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,35
4745,https://hansard.parliament.uk/search/MemberContributions?memberId=4745&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,135
4831,https://hansard.parliament.uk/search/MemberContributions?memberId=4831&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,39
1171,https://hansard.parliament.uk/search/MemberContributions?memberId=1171&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,17
4389,https://hansard.parliament.uk/search/MemberContributions?memberId=4389&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,105
4086,https://hansard.parliament.uk/search/MemberContributions?memberId=4086&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,52
4770,https://hansard.parliament.uk/search/MemberContributions?memberId=4770&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,15
4412,https://hansard.parliament.uk/search/MemberContributions?memberId=4412&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,73
529,https://hansard.parliament.uk/search/MemberContributions?memberId=529&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,2
1409,https://hansard.parliament.uk/search/MemberContributions?memberId=1409&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,39
4651,https://hansard.parliament.uk/search/MemberContributions?memberId=4651&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,29
1442,https://hansard.parliament.uk/search/MemberContributions?memberId=1442&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,174
4791,https://hansard.parliament.uk/search/MemberContributions?memberId=4791&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,109
4519,https://hansard.parliament.uk/search/MemberContributions?memberId=4519&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,42
288,https://hansard.parliament.uk/search/MemberContributions?memberId=288&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,38
4865,https://hansard.parliament.uk/search/MemberContributions?memberId=4865&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
4492,https://hansard.parliament.uk/search/MemberContributions?memberId=4492&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,6
4481,https://hansard.parliament.uk/search/MemberContributions?memberId=4481&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,81
4765,https://hansard.parliament.uk/search/MemberContributions?memberId=4765&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,142
4267,https://hansard.parliament.uk/search/MemberContributions?memberId=4267&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
4402,https://hansard.parliament.uk/search/MemberContributions?memberId=4402&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,26
4610,https://hansard.parliament.uk/search/MemberContributions?memberId=4610&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,114
4419,https://hansard.parliament.uk/search/MemberContributions?memberId=4419&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,108
3987,https://hansard.parliament.uk/search/MemberContributions?memberId=3987&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,34
242,https://hansard.parliament.uk/search/MemberContributions?memberId=242&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,76
4380,https://hansard.parliament.uk/search/MemberContributions?memberId=4380&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,85
4822,https://hansard.parliament.uk/search/MemberContributions?memberId=4822&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,46
1578,https://hansard.parliament.uk/search/MemberContributions?memberId=1578&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,67
4655,https://hansard.parliament.uk/search/MemberContributions?memberId=4655&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,53
4819,https://hansard.parliament.uk/search/MemberContributions?memberId=4819&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,53
4756,https://hansard.parliament.uk/search/MemberContributions?memberId=4756&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,56
4835,https://hansard.parliament.uk/search/MemberContributions?memberId=4835&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,58
4366,https://hansard.parliament.uk/search/MemberContributions?memberId=4366&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,59
249,https://hansard.parliament.uk/search/MemberContributions?memberId=249&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,47
4098,https://hansard.parliament.uk/search/MemberContributions?memberId=4098&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,39
4775,https://hansard.parliament.uk/search/MemberContributions?memberId=4775&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,100
3986,https://hansard.parliament.uk/search/MemberContributions?memberId=3986&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,52
4769,https://hansard.parliament.uk/search/MemberContributions?memberId=4769&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,81
1538,https://hansard.parliament.uk/search/MemberContributions?memberId=1538&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,36
420,https://hansard.parliament.uk/search/MemberContributions?memberId=420&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,98
185,https://hansard.parliament.uk/search/MemberContributions?memberId=185&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,51
4439,https://hansard.parliament.uk/search/MemberContributions?memberId=4439&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,21
4589,https://hansard.parliament.uk/search/MemberContributions?memberId=4589&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,90
4806,https://hansard.parliament.uk/search/MemberContributions?memberId=4806&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,38
4465,https://hansard.parliament.uk/search/MemberContributions?memberId=4465&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,26
1508,https://hansard.parliament.uk/search/MemberContributions?memberId=1508&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,1
4368,https://hansard.parliament.uk/search/MemberContributions?memberId=4368&startDate=2019-12-19&endDate=2021-04-29&type=Spoken&outputType=Group&partial=True,37
