MNIS_id,url,debates
4060,http://hansard.parliament.uk/search/MemberContributions?memberId=4060&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,16
394,http://hansard.parliament.uk/search/MemberContributions?memberId=394&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,66
4818,http://hansard.parliament.uk/search/MemberContributions?memberId=4818&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,24
4421,http://hansard.parliament.uk/search/MemberContributions?memberId=4421&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,11
4390,http://hansard.parliament.uk/search/MemberContributions?memberId=4390&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,62
4005,http://hansard.parliament.uk/search/MemberContributions?memberId=4005&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,132
4357,http://hansard.parliament.uk/search/MemberContributions?memberId=4357&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,44
4864,http://hansard.parliament.uk/search/MemberContributions?memberId=4864&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,53
4058,http://hansard.parliament.uk/search/MemberContributions?memberId=4058&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,69
104,http://hansard.parliament.uk/search/MemberContributions?memberId=104&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,28
1581,http://hansard.parliament.uk/search/MemberContributions?memberId=1581&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,147
4748,http://hansard.parliament.uk/search/MemberContributions?memberId=4748&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,47
117,http://hansard.parliament.uk/search/MemberContributions?memberId=117&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,41
4601,http://hansard.parliament.uk/search/MemberContributions?memberId=4601&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,54
4663,http://hansard.parliament.uk/search/MemberContributions?memberId=4663&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,34
4110,http://hansard.parliament.uk/search/MemberContributions?memberId=4110&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,17
230,http://hansard.parliament.uk/search/MemberContributions?memberId=230&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,41
435,http://hansard.parliament.uk/search/MemberContributions?memberId=435&startDate=2021-05-11&endDate=2022-04-08&type=Spoken&outputType=Group&partial=True,17
